Column,Field Name,Label/Description
1,RECTYPE,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
2,ALPHAIND,Alphabetic index
3,LEA,Local authority number
4,ESTAB,Establishment number
5,URN,School unique reference number
6,SCHNAME,School/Local authority name
7,ADDRESS1,School address (1)
8,ADDRESS2,School address (2)
9,ADDRESS3,School address (3)
10,TOWN,School town
11,PCODE,School postcode
12,TELNUM,School telephone number 
13,PCON_CODE,School parliamentary constituency code
14,PCON_NAME,School parliamentary constituency name
15,URN_AC,Converter academy: URN 
16,SCHNAME_AC,Converter academy: name
17,OPEN_AC,Converter academy: open date
18,NFTYPE,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
19,ICLOSE,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
20,RELDENOM,Religious denomination
21,AGERANGE,Age range
22,CONFEXAM,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
23,TAB15,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
24,TAB1618,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
25,TOTPUPS,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
26,TPUPYEAR,Number of pupils aged 11 
27,TELIG,Published eligible pupil number
28,BELIG,Eligible boys on school roll at time of tests
29,GELIG,Eligible girls on school roll at time of tests
30,PBELIG,Percentage of eligible boys on school roll at time of tests
31,PGELIG,Percentage of eligible girls on school roll at time of tests
32,TKS1AVERAGE,Cohort level key stage 1 average points score
33,TKS1GROUP_L,Number of pupils in cohort with low KS1 attainment
34,PTKS1GROUP_L,Percentage of pupils in cohort with low KS1 attainment
35,TKS1GROUP_M,Number of pupils in cohort with medium KS1 attainment
36,PTKS1GROUP_M,Percentage of pupils in cohort with medium KS1 attainment
37,TKS1GROUP_H,Number of pupils in cohort high KS1 attainment
38,PTKS1GROUP_H,Percentage of pupils in cohort with high KS1 attainment
39,TKS1GROUP_NA,No. of pupils in KS1 group not calculable
40,PTKS1GROUP_NA,Percentage of pupils in KS1group not calculable
41,TFSM6CLA1A,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
42,PTFSM6CLA1A,Percentage of key stage 2 disadvantaged pupils
43,TNotFSM6CLA1A,Number of key stage 2 pupils who are not disadvantaged
44,PTNotFSM6CLA1A,Percentage of key stage 2 pupils who are not disadvantaged
45,TEALGRP2,Number of eligible pupils with English as additional language (EAL)
46,PTEALGRP2,Percentage of eligible pupils with English as additional language (EAL)
47,TMOBN,Number of eligible pupils classified as non-mobile
48,PTMOBN,Percentage of eligible pupils classified as non-mobile
49,PTRWM_EXP,"Percentage of pupils reaching the expected standard in reading, writing and maths"
50,PTRWM_HIGH,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
51,READPROG,Reading progress measure
52,READPROG_LOWER,Reading progress measure - lower confidence limit
53,READPROG_UPPER,Reading progress measure - upper confidence limit
54,READCOV,Reading progress measure - coverage
55,WRITPROG,Writing progress measure
56,WRITPROG_LOWER,Writing progress measure - lower confidence limit
57,WRITPROG_UPPER,Writing progress measure - upper confidence limit
58,WRITCOV,Writing progress measure - coverage
59,MATPROG,Maths progress measure
60,MATPROG_LOWER,Maths progress measure - lower confidence limit
61,MATPROG_UPPER,Maths progress measure - upper confidence limit
62,MATCOV,Maths progress measure - coverage
63,PTREAD_EXP,Percentage of pupils reaching the expected standard in reading
64,PTREAD_HIGH,Percentage of pupils achieving a high score in reading
65,PTREAD_AT,Percentage of pupils absent from or not able to access the test in reading
66,READ_AVERAGE,Average scaled score in reading
67,PTGPS_EXP,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
68,PTGPS_HIGH,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
69,PTGPS_AT,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
70,GPS_AVERAGE,"Average scaled score in grammar, punctuation and spelling"
71,PTMAT_EXP,Percentage of pupils reaching the expected standard in maths
72,PTMAT_HIGH,Percentage of pupils achieving a high score in maths
73,PTMAT_AT,Percentage of pupils absent from or not able to access the test in maths
74,MAT_AVERAGE,Average scaled score in maths
75,PTWRITTA_EXP,Percentage of pupils reaching the expected standard in writing
76,PTWRITTA_HIGH,Percentage of pupils working at greater depth within the expected standard in writing
77,PTWRITTA_WTS,Percentage of pupils working towards the expected standard in writing
78,PTWRITTA_AD,Percentage of pupils absent or disapplied in writing TA
79,PTSCITA_EXP,Percentage of pupils reaching the expected standard in science TA
80,PTSCITA_AD,Percentage of pupils absent or disapplied in science TA
81,PTRWM_EXP_B,"Percentage of boys reaching the expected standard in reading, writing and maths"
82,PTRWM_EXP_G,"Percentage of girls reaching the expected standard in reading, writing and maths"
83,PTRWM_EXP_L,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
84,PTRWM_EXP_M,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
85,PTRWM_EXP_H,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
86,PTRWM_EXP_FSM6CLA1A,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
87,PTRWM_EXP_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
88,DIFFN_RWM_EXP,"Difference between school percentage of disavantaged pupils and national percentage of other pupils reaching the expected standard in reading, writing and maths "
89,PTRWM_EXP_EAL,"Percentage of EAL pupils reaching the expected standard in reading, writing and maths"
